City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Abha,SA,42.62,clear sky,18.2164,42.5053, 
3,Anaconda,US,28.96,overcast clouds,46.1285,-112.9423, 
6,Punta Arenas,CL,42.91,broken clouds,-53.15,-70.9167, 
15,Boulder City,US,44.92,clear sky,35.9786,-114.8325, 
21,Vardo,NO,32.2,broken clouds,70.3705,31.1107, 
28,Albany,US,40.08,clear sky,42.6001,-73.9662, 
36,Jamestown,US,38.71,clear sky,42.097,-79.2353, 
42,Costinesti,RO,41.02,overcast clouds,43.95,28.6333, 
46,Shenjiamen,CN,50.09,clear sky,29.9576,122.298, 
49,Bethel,US,41.2,clear sky,41.3712,-73.414, 
50,San Quintin,MX,50.43,clear sky,30.4833,-115.95, 
59,Saint George,US,42.8,few clouds,37.1041,-113.5841, 
64,Endwell,US,38.71,clear sky,42.1129,-76.021, 
72,Nikolskoye,RU,25.81,snow,59.7035,30.7861, 
73,Lebu,CL,50.43,overcast clouds,-37.6167,-73.65, 
75,Faya,SA,42.91,clear sky,18.3851,42.4509, 
76,Havre-Saint-Pierre,CA,30.79,broken clouds,50.2334,-63.5986, 
84,Chapais,CA,29.98,light snow,49.7834,-74.8492, 
85,Coihaique,CL,49.95,broken clouds,-45.5752,-72.0662, 
90,Gurlan,UZ,30.27,overcast clouds,41.8447,60.3919, 
93,Fortuna Foothills,US,53.22,clear sky,32.6578,-114.4119, 
99,Severo-Kurilsk,RU,33.04,scattered clouds,50.6789,156.125, 
102,Ushuaia,AR,34.77,broken clouds,-54.8,-68.3, 
107,Kropotkin,RU,39.42,overcast clouds,45.4375,40.5756, 
116,Mehamn,NO,31.91,light snow,71.0357,27.8492, 
122,Margate,GB,51.96,overcast clouds,51.3813,1.3862, 
135,Tasiilaq,GL,33.96,overcast clouds,65.6145,-37.6368, 
136,Powell River,CA,42.01,overcast clouds,49.8496,-124.5361, 
137,Pachino,IT,39.24,scattered clouds,36.7186,15.0907, 
138,Torbay,CA,37.67,overcast clouds,47.6666,-52.7314, 
141,Sobolevo,RU,31.6,snow,54.4299,31.8996, 
142,Shelburne,CA,37.53,broken clouds,44.0787,-80.2041, 
146,Husavik,IS,30.58,overcast clouds,66.0449,-17.3389, 
147,Kharan,PK,54.36,clear sky,28.5833,65.4167, 
160,Stephenville,US,48.16,clear sky,32.2207,-98.2023, 
164,Goderich,CA,43.12,broken clouds,43.7501,-81.7165, 
165,Gloversville,US,39.11,clear sky,43.0528,-74.3438, 
166,Sayyan,YE,41.58,clear sky,15.1718,44.3244, 
167,Halifax,CA,38.41,clear sky,44.6453,-63.5724, 
170,Fort-Shevchenko,KZ,27.37,clear sky,44.5086,50.263, 
171,Lipin Bor,RU,26.55,snow,60.2622,37.9763, 
175,Pacific Grove,US,53.71,overcast clouds,36.6177,-121.9166, 
183,Sfantu Gheorghe,RO,41.27,overcast clouds,45.8667,25.7833, 
185,Beipiao,CN,29.8,clear sky,41.7919,120.7792, 
199,Petropavlovsk-Kamchatskiy,RU,32.59,clear sky,53.0452,158.6483, 
206,Saint-Andre-Les-Vergers,FR,45.09,overcast clouds,48.2853,4.0521, 
210,Portland,US,42.73,moderate rain,45.5234,-122.6762, 
212,Ostrovnoy,RU,28.49,overcast clouds,68.0531,39.5131, 
213,Karacakoy,TR,53.64,light rain,41.4029,28.3834, 
219,Pascagoula,US,45.55,clear sky,30.3658,-88.5561, 
231,Sioux Lookout,CA,32.38,overcast clouds,50.1001,-91.917, 
239,Hofn,IS,36.95,overcast clouds,64.2539,-15.2082, 
240,Nanortalik,GL,26.56,overcast clouds,60.1432,-45.2371, 
242,Olafsvik,IS,40.46,overcast clouds,64.8945,-23.7142, 
260,Scarborough,GB,52.09,overcast clouds,54.2797,-0.4044, 
266,Marand,IR,28.74,few clouds,38.4329,45.7749, 
269,Griffith,US,43.99,clear sky,41.5284,-87.4237, 
271,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589, 
277,Westport,US,44.1,clear sky,41.1415,-73.3579, 
278,Grindavik,IS,41.47,broken clouds,63.8424,-22.4338, 
282,Dalvik,IS,34.0,overcast clouds,65.9702,-18.5286, 
289,Sarlat-La-Caneda,FR,39.87,broken clouds,44.889,1.2166, 
296,Bud,US,39.25,few clouds,39.447,-86.1758, 
298,Villavieja,ES,50.54,few clouds,39.85,-0.1833, 
300,Norden,DE,50.92,overcast clouds,53.6,7.2, 
307,Pacifica,US,54.61,light rain,37.6138,-122.4869, 
308,Yumen,CN,26.4,clear sky,40.2833,97.2, 
311,Bahar,IR,36.28,broken clouds,34.9072,48.4414, 
312,Meridian,US,45.14,overcast clouds,43.6121,-116.3915, 
319,Viloco,BO,48.76,broken clouds,-16.95,-67.55, 
320,Yarmouth,US,45.01,clear sky,41.7057,-70.2286, 
323,Odessa,UA,46.33,mist,46.4775,30.7326, 
324,Methoni,GR,51.22,broken clouds,36.8197,21.7049, 
326,Rio Gallegos,AR,41.76,clear sky,-51.6226,-69.2181, 
332,Oia,PT,54.12,few clouds,40.5426,-8.5386, 
334,Ancud,CL,49.42,overcast clouds,-41.8697,-73.8203, 
336,Mayo,US,42.24,clear sky,38.8876,-76.5119, 
339,Baraki Barak,AF,37.62,broken clouds,33.9675,68.9486, 
