City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint George,US,37.1041,-113.5841,43.79,59,1,5.01,clear sky
1,Chuy,UY,-33.6971,-53.4616,64.22,85,17,7.05,moderate rain
2,Alta Floresta,BR,-9.8756,-56.0861,73.26,97,100,2.26,moderate rain
3,Nanortalik,GL,60.1432,-45.2371,26.56,72,100,14.05,overcast clouds
4,Lichinga,MZ,-13.3128,35.2406,64.49,82,20,16.11,few clouds
5,Mount Gambier,AU,-37.8333,140.7667,66.11,55,40,13.8,light rain
6,Cape Town,ZA,-33.9258,18.4232,64.89,84,0,3.0,clear sky
7,Victoria,HK,22.2855,114.1577,71.04,68,0,1.99,clear sky
8,Sanok,PL,49.5557,22.2056,32.43,100,100,5.26,light snow
9,Ossora,RU,59.2353,163.0719,9.07,91,100,29.44,snow
10,Merrill,US,45.1805,-89.6835,35.37,71,1,3.44,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,91,1.99,overcast clouds
12,Sao Filipe,CV,14.8961,-24.4956,74.82,72,82,9.57,broken clouds
13,Alghero,IT,40.5589,8.3181,32.09,100,0,2.3,clear sky
14,Tiksi,RU,71.6872,128.8694,-19.16,100,100,1.32,overcast clouds
15,Jamestown,US,42.097,-79.2353,38.79,56,1,8.99,clear sky
16,Qaanaaq,GL,77.484,-69.3632,-3.66,73,2,5.14,clear sky
17,De Aar,ZA,-30.6497,24.0123,66.7,63,2,4.65,clear sky
18,Busselton,AU,-33.65,115.3333,69.55,40,100,9.57,overcast clouds
19,Kapaa,US,22.0752,-159.319,80.58,75,40,4.0,light rain
20,Fairbanks,US,64.8378,-147.7164,-11.78,67,40,0.0,light snow
21,Nanakuli,US,21.3906,-158.1547,77.99,68,75,5.75,broken clouds
22,Vallenar,CL,-28.5708,-70.7581,61.66,59,0,2.01,clear sky
23,Dikson,RU,73.5069,80.5464,-17.27,96,81,17.94,broken clouds
24,Saldanha,ZA,-33.0117,17.9442,60.85,93,3,13.98,clear sky
25,Izumo,JP,35.3667,132.7667,49.95,61,75,14.97,broken clouds
26,Mmabatho,ZA,-25.85,25.6333,66.16,88,0,9.22,light rain
27,Iqaluit,CA,63.7506,-68.5145,4.73,65,40,5.01,scattered clouds
28,Rikitea,PF,-23.1203,-134.9692,77.27,79,86,8.95,light rain
29,Mataura,NZ,-46.1927,168.8643,62.47,37,16,7.49,few clouds
30,Bluff,NZ,-46.6,168.3333,62.8,74,57,15.23,broken clouds
31,Lavrentiya,RU,65.5833,-171.0,-15.3,91,66,4.36,broken clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,75.09,95,100,10.18,overcast clouds
33,Akyab,MM,20.15,92.9,77.97,50,2,5.75,clear sky
34,Bethel,US,41.3712,-73.414,42.49,59,1,1.01,clear sky
35,Staraya Poltavka,RU,50.4772,46.4814,14.9,82,43,7.67,scattered clouds
36,Tasiilaq,GL,65.6145,-37.6368,33.96,91,100,4.52,overcast clouds
37,Adre,TD,13.4667,22.2,65.98,28,75,8.79,broken clouds
38,Albany,US,42.6001,-73.9662,40.08,54,0,1.99,clear sky
39,Ushuaia,AR,-54.8,-68.3,40.66,65,75,23.02,broken clouds
