City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Havelock,34.8791,-76.9013,56.01,55,0,3.0,US,2021-12-12 21:17:15
1,Port Alfred,-33.5906,26.891,70.74,95,100,13.15,ZA,2021-12-12 21:17:15
2,Busselton,-33.65,115.3333,47.05,75,100,8.21,AU,2021-12-12 21:17:16
3,Kodiak,57.79,-152.4072,11.71,52,1,23.02,US,2021-12-12 21:17:16
4,Kloulklubed,7.0419,134.2556,79.3,80,80,13.62,PW,2021-12-12 21:17:16
5,Shache,38.4167,77.2406,21.85,62,4,3.04,CN,2021-12-12 21:17:17
6,Cape Town,-33.9258,18.4232,66.61,80,20,4.0,ZA,2021-12-12 21:17:17
7,Ponta Delgada,37.7333,-25.6667,56.5,62,20,13.8,PT,2021-12-12 21:17:17
8,Bethel,41.3712,-73.414,45.99,41,0,7.72,US,2021-12-12 21:17:18
9,Vaini,-21.2,-175.2,80.76,89,75,9.22,TO,2021-12-12 21:17:18
10,Dakar,14.6937,-17.4441,76.08,73,70,0.0,SN,2021-12-12 21:17:19
11,Carnarvon,-24.8667,113.6333,68.07,73,1,14.97,AU,2021-12-12 21:17:19
12,Chokurdakh,70.6333,147.9167,-38.49,97,98,2.21,RU,2021-12-12 21:17:19
13,East London,-33.0153,27.9116,71.55,96,100,4.83,ZA,2021-12-12 21:17:20
14,Haverfordwest,51.8017,-4.9691,54.16,93,82,11.99,GB,2021-12-12 21:12:46
15,Thompson,55.7435,-97.8558,3.36,78,90,2.3,CA,2021-12-12 21:17:21
16,Airai,-8.9266,125.4092,61.03,88,100,1.57,TL,2021-12-12 21:17:21
17,New Norfolk,-42.7826,147.0587,57.92,64,18,1.99,AU,2021-12-12 21:17:21
18,Atuona,-9.8,-139.0333,79.14,76,17,18.79,PF,2021-12-12 21:17:22
19,Kahului,20.8947,-156.47,80.96,75,20,21.85,US,2021-12-12 21:16:50
20,Cubara,7.0008,-72.1085,87.15,48,87,3.58,CO,2021-12-12 21:17:22
21,Krasnovishersk,60.4078,57.082,4.51,97,100,3.27,RU,2021-12-12 21:17:23
22,Iqaluit,63.7506,-68.5145,6.53,65,75,8.01,CA,2021-12-12 21:16:15
23,Saryagash,41.4511,69.1701,42.76,72,68,2.84,KZ,2021-12-12 21:17:23
24,Smolenka,52.1352,113.4974,14.07,62,100,8.95,RU,2021-12-12 21:17:24
25,Dikson,73.5069,80.5464,-18.0,94,95,14.27,RU,2021-12-12 21:17:24
26,Kruisfontein,-34.0033,24.7314,67.89,93,100,7.78,ZA,2021-12-12 21:15:46
27,Logumkloster,55.0594,8.9551,46.33,99,100,6.33,DK,2021-12-12 21:17:25
28,Hithadhoo,-0.6,73.0833,81.16,77,100,11.12,MV,2021-12-12 21:17:25
29,Ourossogui,15.6064,-13.3211,83.98,10,100,7.7,SN,2021-12-12 21:17:26
30,Narsaq,60.9167,-46.05,17.82,79,3,6.78,GL,2021-12-12 21:17:26
31,Kidal,18.4411,1.4078,74.77,10,93,8.59,ML,2021-12-12 21:17:26
32,Arraial Do Cabo,-22.9661,-42.0278,80.46,78,75,6.91,BR,2021-12-12 21:17:27
33,Chuy,-33.6971,-53.4616,73.83,66,0,14.79,UY,2021-12-12 21:17:28
34,Bengkulu,-3.8004,102.2655,75.24,89,99,3.47,ID,2021-12-12 21:17:28
35,Qaanaaq,77.484,-69.3632,-2.06,67,71,2.33,GL,2021-12-12 21:17:28
36,San Lawrenz,36.0553,14.204,54.86,75,100,3.0,MT,2021-12-12 21:17:29
37,Hobart,-42.8794,147.3294,58.26,71,75,4.0,AU,2021-12-12 21:16:28
38,Punta Arenas,-53.15,-70.9167,51.91,30,0,26.46,CL,2021-12-12 21:15:35
39,Campbellton,48.0075,-66.6727,34.25,69,19,16.53,CA,2021-12-12 21:17:29
40,Byron Bay,-28.65,153.6167,72.88,84,96,8.39,AU,2021-12-12 21:17:30
41,Puerto Carreno,6.189,-67.4859,88.7,51,100,17.31,CO,2021-12-12 21:14:12
42,Yellowknife,62.456,-114.3525,8.56,84,100,8.99,CA,2021-12-12 21:13:42
43,Ushuaia,-54.8,-68.3,42.46,61,75,28.77,AR,2021-12-12 21:15:35
44,Jamestown,42.097,-79.2353,44.19,47,1,10.0,US,2021-12-12 21:17:30
